日期,借书量
2017-01-01,349.0
2017-01-02,424.0
2017-01-03,796.0
2017-01-04,1070.0
2017-01-05,542.0
2017-01-06,391.0
2017-01-07,205.0
2017-01-08,280.0
2017-01-09,83.0
2017-01-10,59.0
2017-01-11,114.0
2017-01-12,60.0
2017-01-13,126.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,15.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,2.0
2017-01-24,1.0
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,59.0
2017-02-21,75.0
2017-02-22,56.0
2017-02-23,158.0
2017-02-24,251.0
2017-02-25,483.0
2017-02-26,1102.0
2017-02-27,1591.0
2017-02-28,1343.0
2017-03-01,1077.0
2017-03-02,904.0
2017-03-03,816.0
2017-03-04,741.0
2017-03-05,585.0
2017-03-06,828.0
2017-03-07,833.0
2017-03-08,711.0
2017-03-09,741.0
2017-03-10,615.0
2017-03-11,534.0
2017-03-12,598.0
2017-03-13,648.0
2017-03-14,665.0
2017-03-15,773.0
2017-03-16,499.0
2017-03-17,489.0
2017-03-18,515.0
2017-03-19,526.0
2017-03-20,457.0
2017-03-21,502.0
2017-03-22,569.0
2017-03-23,418.0
2017-03-24,500.0
2017-03-25,528.0
2017-03-26,516.0
2017-03-27,475.0
2017-03-28,443.0
2017-03-29,515.0
2017-03-30,458.0
2017-03-31,500.0
2017-04-01,336.0
2017-04-02,241.0
2017-04-03,311.0
2017-04-04,314.0
2017-04-05,464.0
2017-04-06,411.0
2017-04-07,365.0
2017-04-08,423.0
2017-04-09,356.0
2017-04-10,349.0
2017-04-11,467.0
2017-04-12,548.0
2017-04-13,412.0
2017-04-14,368.0
2017-04-15,295.0
2017-04-16,324.0
2017-04-17,786.0
2017-04-18,571.0
2017-04-19,640.0
2017-04-20,520.0
2017-04-21,543.0
2017-04-22,486.0
2017-04-23,581.0
2017-04-24,579.0
2017-04-25,478.0
2017-04-26,642.0
2017-04-27,486.0
2017-04-28,387.0
2017-04-29,248.0
2017-04-30,218.0
2017-05-01,365.0
2017-05-02,433.0
2017-05-03,403.0
2017-05-04,371.0
2017-05-05,353.0
2017-05-06,226.0
2017-05-07,458.0
2017-05-08,449.0
2017-05-09,325.0
2017-05-10,406.0
2017-05-11,383.0
2017-05-12,392.0
2017-05-13,354.0
2017-05-14,312.0
2017-05-15,443.0
2017-05-16,377.0
2017-05-17,398.0
2017-05-18,348.0
2017-05-19,254.0
2017-05-20,276.0
2017-05-21,314.0
